"","brewery_name","beer_name","all","aroma","appearance","palate","abv","taste","count"
"98","21st Amendment Brewery","Hop Caen",4.5,4,5,4.5,7,4.5,1
"99","21st Amendment Brewery","Hop Crisis",3.93252595155709,3.96885813148789,4.08996539792388,3.90311418685121,9.7,3.95328719723183,289
"100","21st Amendment Brewery","Hqt",3.16666666666667,3.5,3.5,3.66666666666667,5.7,3.16666666666667,3
"101","21st Amendment Brewery","King George IPA",3.25,3.25,3.5,3.5,6.1,3.5,2
"102","21st Amendment Brewery","Leicht Weiss",4.5,2.5,4.5,4,5,3,1
"103","21st Amendment Brewery","Leuven Life Pale Ale",4,4,3.5,4,5.4,3.5,1
"104","21st Amendment Brewery","Lost Sailor Imperial Pilsner",4.25,3.75,4,3.75,8.6,4,2
"105","21st Amendment Brewery","Lower Da Boom Barleywine",3.5,3.71428571428571,3.78571428571429,3.78571428571429,9.5,3.42857142857143,7
"106","21st Amendment Brewery","MMXA",2.5,3,3.5,3,5.3,3.5,1
"107","21st Amendment Brewery","Mo'tcho Risin'",4,3.83333333333333,4,4,8.1,3.83333333333333,3
"108","21st Amendment Brewery","Monk's Blood",3.72911051212938,3.74258760107817,3.8921832884097,3.72911051212938,8.3,3.78840970350404,371
"109","21st Amendment Brewery","Noir De Blanc",3.66666666666667,3.33333333333333,3.33333333333333,3.66666666666667,4.8,3.66666666666667,3
"110","21st Amendment Brewery","North Star Red",3.57142857142857,3.42857142857143,3.57142857142857,3.42857142857143,5.5,3.5,7
"111","21st Amendment Brewery","O'Sullivan's Irish Ale",3.5,2.75,4.5,4,5.6,3.75,2
"112","21st Amendment Brewery","Oaked Baby Horse",4.5,4.5,4,4,11.8,4.5,1
"113","21st Amendment Brewery","Old Glory",3,3.5,4,2.5,7.3,3.5,1
"114","21st Amendment Brewery","Opening Day IPA",4,3.5,4,4,7.5,4,1
"115","21st Amendment Brewery","Over Hopulation",3,3,3.5,2.5,7.1,3,1
"116","21st Amendment Brewery","Oyster Point Oyster Stout",3.35714285714286,3.5,3.57142857142857,3.42857142857143,4.9,3.28571428571429,7
"117","21st Amendment Brewery","Papa Park's Porter",2.875,3.125,3.875,2.875,6.2,2.75,4
"118","21st Amendment Brewery","Phoenix IPA",4.5,4.5,3,4,6.9,4.5,1
"119","21st Amendment Brewery","Pippo's Porter",4,3.75,3.75,3.75,4.5,3.75,2
"120","21st Amendment Brewery","Potrero ESB",4.25,3.75,4,4,5.2,4,2
"121","21st Amendment Brewery","Rammstein",3.5,4,2.83333333333333,3.5,8.1,3.83333333333333,3
"122","21st Amendment Brewery","Rathskeller Alt",3,3,3.5,3,5.2,2.5,1
"123","21st Amendment Brewery","Ripple Imperial Chocolate Porter",4,3.5,4.5,4,8.9,4,1
"124","21st Amendment Brewery","Roasted American",3.5,3,3.5,3.5,6.1,3,1
"125","21st Amendment Brewery","Shot Tower Stout",4,3,4,3,6.2,4,1
"126","21st Amendment Brewery","South Park Blonde",3.68181818181818,3.36363636363636,3.68181818181818,3.63636363636364,5.1,3.45454545454545,11
"127","21st Amendment Brewery","Spill It Milk Stout",4,3.5,3,4,5.2,4,1
"128","21st Amendment Brewery","Spring Tweet",3.5,3.5,4,4,4.8,3.5,1
"129","21st Amendment Brewery","St. Lupulin",3,3.5,3,3.5,9,3,1
"130","21st Amendment Brewery","St. Patrick O'Sullivan's Irish Red",5,4,4.5,4,5.4,4,1
"131","21st Amendment Brewery","Summit IPA",4.5,4,4,4,5.9,4.5,1
"132","21st Amendment Brewery","TBN - Blonde Bock",3.5,3.5,4,3.5,6.5,3.5,1
"133","21st Amendment Brewery","Tenure",3,3,4,3,6.6,3,1
"134","21st Amendment Brewery","The Conventioneer",3.5,3.5,3.75,3.75,5.5,3.25,2
"135","21st Amendment Brewery","Two Lane Blacktop Imperial Black",3.375,3.875,3.875,3.625,9.4,4,4
"136","21st Amendment Brewery","U.S.  I.P.A.",3.875,3.75,3.75,3.875,7.2,3.875,4
"137","21st Amendment Brewery","Ugly Sweater IPA",2,2,4,3.5,6.5,2.5,1
"138","21st Amendment Brewery","USB 5.0",4,3.5,3.5,4,5,4,1
"139","21st Amendment Brewery","Via",3.5,3.25,3.75,3.75,6,3.25,2
"140","21st Amendment Brewery","Warrior IPA",4,3.5,3,3.5,6.7,3.5,1
"141","21st Amendment Brewery","Wit And Wisdom",4,3.5,4,5,4.7,4,1
"142","21st Amendment Brewery","Wit Cin'd",1,1,3.5,3.5,6,1.5,1
"143","23rd Street Brewery","Big Leaf Porter",4,3.5,3,4.5,6.88,4,1
"144","23rd Street Brewery","Bitter Professor IPA",4.07142857142857,3.92857142857143,4,4,7.2,4.07142857142857,7
"145","23rd Street Brewery","Crimson Phog",3.75,3.625,3.875,4.125,6.1,3.875,4
"146","23rd Street Brewery","Good Hope IPA",3.75,3.5,4,3.5,6.2,3.5,2
"147","23rd Street Brewery","Knock Out Imperial Stout",4,4.5,4,4.5,9.25,4,1
"148","23rd Street Brewery","Wave The Wheat Ale",3.9,2.7,3.2,3.5,5.2,2.9,5
"149","2nd Shift Brewery","Art Of Neurosis IPA",4.16666666666667,4,4,3.83333333333333,7.1,4.33333333333333,3
"150","2nd Shift Brewery","Cat Spit Stout",3.5,3.25,3.25,4.25,5.2,3.75,2
"151","2nd Shift Brewery","CollaboRation",4,4,3.5,3.5,6.2,4.5,1
"152","2nd Shift Brewery","Liquid Spiritual Delight Ale",3.66666666666667,3.66666666666667,4.33333333333333,4,7.1,3.66666666666667,3
"153","2nd Shift Brewery","Unicorn Killer",3.83333333333333,3.5,3.83333333333333,4,7.8,3.83333333333333,3
"154","3 Ravens Brewing","3 Ravens 55",3.5,3.3,3.2,3.4,5.5,3.45,10
"155","3 Ravens Brewing","3 Ravens Ale Noir",3.83333333333333,3.66666666666667,4.16666666666667,3.66666666666667,5.4,3.66666666666667,3
"156","3 Ravens Brewing","3 Ravens Black",3.58333333333333,3.72222222222222,3.94444444444444,3.66666666666667,5.5,3.55555555555556,18
"157","3 Ravens Brewing","3 Ravens Blond",3.8,3.55,3.45,3.7,5.2,3.75,20
"158","3 Ravens Brewing","3 Ravens Bock The Ravenator",3.75,3.75,3.66666666666667,3.66666666666667,5.8,3.83333333333333,6
"159","3 Ravens Brewing","3 Ravens Bronze",3.55882352941176,3.26470588235294,3.44117647058824,3.44117647058824,4.6,3.47058823529412,17
"160","3 Ravens Brewing","3 Ravens Dark",3.22727272727273,2.90909090909091,3.36363636363636,3.09090909090909,5.2,3,11
"161","3 Ravens Brewing","3 Ravens Double Ale Noir",3.75,3.5,3.75,3.75,6.5,4,2
"162","3 Ravens Brewing","3 Ravens Hell",3.66666666666667,3.16666666666667,3.33333333333333,3.66666666666667,5,3.33333333333333,3
"163","3 Ravens Brewing","3 Ravens Rye",3.4375,3.4375,3.25,3.25,5.7,3.4375,8
"164","3 Ravens Brewing","3 Ravens Schwarz Dark Lager",3.5,3.5,3.5,3.5,6.3,3.5,1
"165","3 Ravens Brewing","3 Ravens Über Blond Sticke Altbier",3.42857142857143,3.35714285714286,3.71428571428571,3.5,6.4,3.28571428571429,7
"166","3 Ravens Brewing","3 Ravens White",2.94444444444444,3,3.16666666666667,3.22222222222222,5.2,3.05555555555556,9
"167","3 Ravens Brewing","Über Special Bitter",4,3.625,3.625,3.75,6.1,3.75,4
"168","3 Stars Brewing Company","B.W. Rye",3.16666666666667,4,4,3.83333333333333,7,3.33333333333333,3
"169","32 Via Dei Birrai","Admiral",2,2,2.5,2,6.3,2,1
"170","32 Via Dei Birrai","Atra",2.5,2.75,2.5,2.5,7.3,2,2
"171","32 Via Dei Birrai","Audace",3,3.25,3.125,3,8.4,3.125,4
"172","32 Via Dei Birrai","Curmi",3.25,3,3.25,3,5.8,2.5,2
"173","32 Via Dei Birrai","Oppale",3.375,3.375,3.75,2.875,5.5,3.375,4
"174","4 Hands Brewing Co.","Cast Iron Oatmeal Brown",4,3.5,4,3.5,5.5,3.5,1
"175","4 Hands Brewing Co.","Divided Sky Rye IPA",5,4.5,5,4.5,6.5,4.5,1
"176","4 Hands Brewing Co.","Reprise Centennial Red",4.5,4.5,4.25,4,6,4.25,2
"177","4 Pines Brewing Company","4 Pines Dry Stout",3.88461538461538,3.80769230769231,3.88461538461538,3.80769230769231,5.1,3.92307692307692,13
"178","4 Pines Brewing Company","4 Pines ESB",3.6,2.9,4,3.5,5.6,3.4,5
"179","4 Pines Brewing Company","4 Pines Hefeweizen",3.57142857142857,3.71428571428571,3.64285714285714,3.57142857142857,5.2,3.28571428571429,7
"180","4 Pines Brewing Company","4 Pines IPA",3.5,4,3.5,3,4.5,3.5,1
"181","4 Pines Brewing Company","4 Pines Kolsch",3.5625,3.40625,3.6875,3.5,4.7,3.5,16
"182","4 Pines Brewing Company","4 Pines Pale Ale",3.7,3.7,3.85,3.65,5.1,3.5,10
"183","4 Pines Brewing Company","4 Pines Wee Heavy",3.83333333333333,3.66666666666667,4,3.66666666666667,7.8,4.16666666666667,3
"184","4Seasons Sports Bar & Brew Pub","Cerveza",2,2,2.5,1.5,5,2,1
"185","4Seasons Sports Bar & Brew Pub","Gold",3,2.5,2.5,1.5,5,3,1
"186","4Seasons Sports Bar & Brew Pub","Wheat",2,2.5,2.5,1.5,5,3,1
"187","4th Street Brewing Co.","80 Shilling",3,1.5,3.5,2.5,5.2,2.5,1
"188","4th Street Brewing Co.","Belgian Tripel",3.5,3.5,3,3.5,9.2,3.5,1
"189","4th Street Brewing Co.","Belgium Wit",3.5,4,3,3,5.4,3.5,1
"190","4th Street Brewing Co.","Cherry",4,3.5,4,4,5.8,4,1
"191","4th Street Brewing Co.","Doppelbock",3,3.5,3,3,10.8,3,1
"192","4th Street Brewing Co.","Double Red",4.5,3.5,4,4.5,9.5,4,1
"193","4th Street Brewing Co.","German Pilsner",3.5,4,2.5,3.5,4.3,3.5,1
"194","4th Street Brewing Co.","Gresham Light",3,3,3.5,3.5,5,3,1
"195","4th Street Brewing Co.","Single Malt Ale (Golden Promise Malt)",5,4,4,4.5,7.4,4.5,1
"196","4th Street Brewing Co.","Vienna Lager",3.75,3.25,4,3.5,4.8,3.75,2
"197","4th Street Brewing Co.","Wheat IPA",3.5,3,3.5,3.5,5.4,3.5,1
"198","5 Rabbit Cerveceria","5 Lizard",3.55555555555556,3.44444444444444,3.55555555555556,3.61111111111111,4.3,3.61111111111111,9
"199","5 Rabbit Cerveceria","5 Rabbit",3.125,3.125,3.625,3.25,5.3,3.125,4
"200","5 Rabbit Cerveceria","5 Vulture",3.72727272727273,3.81818181818182,3.81818181818182,3.72727272727273,6.4,3.81818181818182,11
"201","5 Rabbit Cerveceria","Vida Y Muerte Muertzenbier",4,3.75,3.75,4.25,6.4,3.75,2
"202","50 Back Brewing Company","50 Back American Lager",3.1,2.75,3.05,3.15,4.9,2.95,10
"203","508 Gastrobrewery","508 Belgian Strong Ale",4,4,4,4,8.4,4.5,1
"204","508 Gastrobrewery","508 DIPA",4.5,4,4,4.5,9,4.5,1
"205","508 Gastrobrewery","508 Galaxy Common",4,4,4,4,4.7,4,1
"206","508 Gastrobrewery","508 Lager",4.5,4.5,4.5,4,4.5,4,1
"207","508 Gastrobrewery","508 Montezuma Imperial Stout",5,4.5,5,5,9.7,5,1
"208","508 Gastrobrewery","508 Strong Ale",3.5,3,4.5,3.5,10,3.5,1
"209","5280 Roadhouse and Brewery","India Pale Ale",4,3.5,4,4,6,3.5,1
"210","5280 Roadhouse and Brewery","Long's Peak Lager",4,3.5,3,3.5,5,3,1
"211","5280 Roadhouse and Brewery","Pioneer Pale Ale",4,4,4,4,5.5,4,1
"212","5280 Roadhouse and Brewery","Rocky Mountain Red",4,4,3.5,4,5.2,3.5,1
"213","7 Seas Brewery and Taproom","Ballz Deep Double IPA",3.38095238095238,2.97619047619048,3.83333333333333,3.45238095238095,8.4,3.35714285714286,21
"214","7 Seas Brewery and Taproom","British Pale Ale",3.625,3.3125,3.625,3.5625,5.4,3.5625,8
"215","7 Seas Brewery and Taproom","Cascadian Dark Ale",4,4,4,3.5,7,3.5,1
"216","7 Seas Brewery and Taproom","Cutt's Ale",3.5,3,3.5,3.5,6.4,3,1
"217","7 Seas Brewery and Taproom","Hop Prophet",3,3.5,4,3.5,5.8,3.5,1
"218","7 Seas Brewery and Taproom","Port Royal Stout",3.66666666666667,3.66666666666667,3.66666666666667,3.83333333333333,6.8,3.66666666666667,3
"219","7 Seas Brewery and Taproom","Rude Parrot",4,4,4.25,3.75,5.8,4.25,4
"220","7 Seas Brewery and Taproom","Saison Du Sept Mers",4,3.5,3.5,4,6,4,1
"221","7 Seas Brewery and Taproom","Santa's Smokin' Winter Warmer",4,4,4,4,7.1,4,1
"222","7 Seas Brewery and Taproom","Wheelchair",4,3,4,4,11.1,4,1
"223","75th Street Brewery","Annona",3.2,3.5,3.7,3.5,11,3.5,5
"224","75th Street Brewery","ESB",4.25,4,4.25,4.25,5.2,4,2
"225","75th Street Brewery","Fountain City Irish Red",3.75,3.375,3.5,4,5.72,3.625,4
"226","75th Street Brewery","How's Your Mama?",4,4.5,4,4,9.3,4.5,1
"227","75th Street Brewery","The Five Point Palm Exploding HOP Technique",4.5,4.25,4.5,4.25,8,4.25,2
"228","7venth (Seventh) Sun Brewery","Brettanomyces Project 1",4.25,4,4,4.5,8.3,4,2
"229","8 Wired Brewing Co.","Batch 18 Barrel Aged Imperial Stout",3.75,3.75,4,3.5,12.5,3.25,2
"230","8 Wired Brewing Co.","Black Dwarf",3.5,3.375,3.875,3.75,4.8,3.375,4
"231","8 Wired Brewing Co.","Hopwired IPA",4.10869565217391,4.06521739130435,3.80434782608696,3.95652173913043,7.3,4.15217391304348,46
"232","8 Wired Brewing Co.","IStout",3.83928571428571,4.03571428571429,4.125,3.83928571428571,10.5,3.89285714285714,28
"233","8 Wired Brewing Co.","Red Dwarf",4,4,4,3.5,5.5,4.5,1
"234","8 Wired Brewing Co.","Rewired Brown Ale",3.79411764705882,3.76470588235294,3.91176470588235,3.73529411764706,5.7,3.82352941176471,17
"235","8 Wired Brewing Co.","Saison Sauvin",3.66666666666667,4,3.83333333333333,3.77777777777778,7,3.94444444444444,9
"236","8 Wired Brewing Co.","Tall Poppy",3.92857142857143,4,4.03571428571429,3.78571428571429,7,4,14
"237","8 Wired Brewing Co.","The Big Smoke",3.828125,4,4.0625,3.765625,6.2,3.78125,32
"238","8 Wired Brewing Co.","The Sultan",3.4375,3.5625,3.625,3.5625,10,3.125,8
"239","961 Beer","961 IPA (India Pale Ale)",5,5,4.5,4.5,6,4.5,1
"240","961 Beer","961 Red Ale",3.3,3.5,3,3.8,5.5,3.6,5
"241","961 Beer","961 Stout",3.125,3.375,3.25,3.375,7.5,3.0625,8
"242","961 Beer","961 Traditional Lager",2.875,3,4,3.125,5.2,2.75,4
"243","À l’abri de la Tempête","Belle Saison",3.4,3.3,3,3.4,5.8,3.4,5
"244","À l’abri de la Tempête","Corne De Brume",3.89090909090909,3.89090909090909,3.91818181818182,3.81818181818182,9,3.9,55
"245","À l’abri de la Tempête","Corps Mort",3.75862068965517,3.89655172413793,3.8448275862069,3.87931034482759,9,3.82758620689655,29
"246","À l’abri de la Tempête","Écume",3.72222222222222,2.80555555555556,3.33333333333333,3.33333333333333,4.8,3.11111111111111,18
"247","À l’abri de la Tempête","L'independante",3.75,3,3.5,2.75,4.5,2.75,2
"248","À l’abri de la Tempête","La Grave",4,3,4,3.5,4.8,3.5,1
"249","À l’abri de la Tempête","Le Vieux Couvent",4.25,3.875,3.625,3.875,5,4.25,4
"250","À l’abri de la Tempête","Palabre Du Bot’Aouelle",3,2.75,2.75,3,7.3,2.5,2
"251","À l’abri de la Tempête","Terre Ferme",3.19230769230769,3.38461538461538,3.92307692307692,3.5,6.2,3.38461538461538,13
"252","À La Fût","British",3.33333333333333,3,3.33333333333333,2.83333333333333,4.5,3.33333333333333,3
"253","À La Fût","Co Hop IV",4,3.75,3.75,3.25,7.1,3.75,2
"254","À La Fût","L'ange Noir",3.5,4,3.5,3.5,5.5,4,1
"255","À La Fût","La Crique",2.5,2.5,3,2.5,4.8,2.5,1
"256","À La Fût","Ma Premiere Blonde",3.83333333333333,3.83333333333333,3.33333333333333,3.5,5.4,3.83333333333333,3
"257","À La Fût","Mékinoise",3,3.5,3,3,4.8,3,1
"258","À La Fût","Raspberry Stout",3.5,4,4,4,7.5,4,1
"259","À La Fût","Ruine-Papilles",3.11111111111111,3.33333333333333,3.94444444444444,3.44444444444444,6.6,3.05555555555556,9
"260","À La Fût","Tripe à 3 Brett",4.375,4.375,4.125,4.25,9.7,4.625,4
"261","À La Fût","Tripe à 3 Chêne",4,4.16666666666667,3.83333333333333,3.83333333333333,9.8,4,3
"262","A Tribbiera","Apa",1,1.5,2,1.5,9,1.5,1
"263","A Tribbiera","Dea",2.5,2,3,3,5,2.5,1
"264","A Tribbiera","Embria",3.5,2.5,2.5,2.5,8,3,1
"265","A Tribbiera","Mora",2.5,2.5,2,2,5,2.5,1
"266","A Tribbiera","Prima",2.5,2.5,3,2.5,5,2.5,1
"267","A.J.I. Beer Inc","Minoh Beer Pale Ale",3.875,3.375,3.75,3.75,5.5,3.625,4
"268","A.J.I. Beer Inc","Minoh Beer Weizen",3.625,3,3.5,3.375,5,3.375,4
"269","A.J.I. Beer Inc","Minoh Ganja High",4.25,4,3.5,3.75,5,4.25,2
